taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1417105	Dasypsyllus stejnegeri (Jordan, 1929)	1417105	Dasypsyllus stejnegeri (Jordan, 1929)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ceratophyllidae	8846	Dasypsyllus	1417087	Dasypsyllus stejnegeri	1417105	
1418114	Amphipsylla sibirica (Wagner, 1898)	1418114	Amphipsylla sibirica (Wagner, 1898)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Leptopsyllidae	5326	Amphipsylla	1418042	Amphipsylla sibirica	1418114	
1418135	Chiastopsylla octavii (Rothschild, 1904)	1418135	Chiastopsylla octavii (Rothschild, 1904)	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Chimaeropsyllidae	8847	Chiastopsylla	1418130	Chiastopsylla octavii	1418135	
1418183	Atyphloceras multidentatus (C.Fox, 1909)	1418183	Atyphloceras multidentatus (C.Fox, 1909)	265	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Atyphloceras	1418177	Atyphloceras multidentatus	1418183	
5050722	Ctenophthalmus baueri Peus, 1978	5050722	Ctenophthalmus baueri Peus, 1978	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Hystrichopsyllidae	9010	Ctenophthalmus	1418195	Ctenophthalmus baueri	5050722	
1416530	Ectinorus simonsi (Rothschild, 1904)	1416530	Ectinorus simonsi (Rothschild, 1904)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Rhopalopsyllidae	8854	Ectinorus	1416509	Ectinorus simonsi	1416530	
1416558	Rhopalopsyllus lutzi (Baker, 1904)	1416558	Rhopalopsyllus lutzi (Baker, 1904)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Rhopalopsyllidae	8854	Rhopalopsyllus	1416557	Rhopalopsyllus lutzi	1416558	
1416564	Rhopalopsyllus cacicus Jordan & Rothschild, 1908	1416564	Rhopalopsyllus cacicus Jordan & Rothschild, 1908	8	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Rhopalopsyllidae	8854	Rhopalopsyllus	1416557	Rhopalopsyllus cacicus	1416564	
1416715	Kohlsia whartoni Traub & Johnson, 1952	1416715	Kohlsia whartoni Traub & Johnson, 1952	48	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ceratophyllidae	8846	Kohlsia	1416706	Kohlsia whartoni	1416715	
1416723	Kohlsia gammonsi Traub, 1950	1416723	Kohlsia gammonsi Traub, 1950	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Siphonaptera	1366	Ceratophyllidae	8846	Kohlsia	1416706	Kohlsia gammonsi	1416723	
