"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"NMNH560",NA,NA,NA,NA,NA,NA,NA,NA,"Cediopsylla spillmanni",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Pulicidae","Cediopsylla",NA,"spillmanni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMNH561",NA,NA,NA,NA,NA,NA,NA,NA,"Tunga monositus Barnes & Radovsky, 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Pulicidae","Tunga",NA,"monositus",NA,NA,NA,"Barnes & Radovsky, 1969",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH562",NA,NA,NA,NA,NA,NA,NA,NA,"Foxella (Afoxella) macgregori macgregori Barrera, 1953",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Foxella","Afoxella","macgregori","macgregori",NA,NA,"Barrera, 1953",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH563",NA,NA,NA,NA,NA,NA,NA,NA,"Jellisonia hayesi breviloba Traub, 1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Jellisonia",NA,"hayesi","breviloba",NA,NA,"Traub, 1950",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH564",NA,NA,NA,NA,NA,NA,NA,NA,"Kohlsia linni Hubbard, 1958",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Kohlsia",NA,"linni",NA,NA,NA,"Hubbard, 1958",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH565",NA,NA,NA,NA,NA,NA,NA,NA,"Kohlsia pelaezi Barrera, 1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Kohlsia",NA,"pelaezi",NA,NA,NA,"Barrera, 1956",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH566",NA,NA,NA,NA,NA,NA,NA,NA,"Eumolpianus eumolpi americanus (Hubbard, 1950)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Eumolpianus",NA,"eumolpi","americanus",NA,NA,"Hubbard, 1950",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH567",NA,NA,NA,NA,NA,NA,NA,NA,"Jellisonia bonia Traub & Johnson, 1952",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Jellisonia",NA,"bonia",NA,NA,NA,"Traub & Johnson, 1952",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH568",NA,NA,NA,NA,NA,NA,NA,NA,"Jellisonia hayesi hayesi Traub, 1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Jellisonia",NA,"hayesi","hayesi",NA,NA,"Traub, 1950",NA,NA,NA,NA,NA,NA,NA,NA
"NMNH569",NA,NA,NA,NA,NA,NA,NA,NA,"Jellisonia hayesi",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Insecta","Siphonaptera","Ceratophyllidae","Jellisonia",NA,"hayesi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
