"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"CoL124920","124920",NA,NA,"x5J",NA,NA,NA,NA,"Monopsyllus sciurorum (Schrank, 1803)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monopsyllus",NA,"sciurorum",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL124950","124950",NA,NA,"124920",NA,NA,NA,NA,"Monopsyllus sciurorum sciurorum (Schrank, 1803)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monopsyllus",NA,"sciurorum","sciurorum","INFRASPECIFIC_NAME",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL124960","124960",NA,124950,NA,NA,NA,NA,NA,"Ceratophyllus sciurorum bolivari Gil Collado, 1948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"sciurorum","bolivari","SUBSPECIES",NA,NA,NA,"ICZN","SYNONYM",NA,NA,NA,NA,NA
"CoL124970","124970",NA,NA,"124920",NA,NA,NA,NA,"Monopsyllus sciurorum asiaticus Ioff, 1936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monopsyllus",NA,"sciurorum","asiaticus","INFRASPECIFIC_NAME",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL124980","124980",NA,124970,NA,NA,NA,NA,NA,"Ceratophyllus sciurorum affinis (Yurkina, 1961)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"sciurorum","affinis","SUBSPECIES",NA,NA,NA,"ICZN","SYNONYM",NA,NA,NA,NA,NA
"CoL124990","124990",NA,124970,NA,NA,NA,NA,NA,"Ceratophyllus sciurorum cophinus (Jordan, 1944)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"sciurorum","cophinus","SUBSPECIES",NA,NA,NA,"ICZN","SYNONYM",NA,NA,NA,NA,NA
"CoL124940","124940",NA,124920,NA,NA,NA,NA,NA,"Ceratophyllus sciurorum dryas Wagner, 1898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"sciurorum","dryas","SUBSPECIES",NA,NA,NA,"ICZN","SYNONYM",NA,NA,NA,NA,NA
"CoL124930","124930",NA,124920,NA,NA,NA,NA,NA,"Concavopsylla palumbi Dale, 1878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Concavopsylla",NA,"palumbi",NA,"SPECIES",NA,NA,NA,"ICZN","SYNONYM",NA,NA,NA,NA,NA
"CoL124910","124910",NA,NA,"x5J",NA,NA,NA,NA,"Monopsyllus paradoxus Scalon, 1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monopsyllus",NA,"paradoxus",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL124800","124800",NA,NA,"x5J",NA,NA,NA,NA,"Monopsyllus argus Rothschild, 1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monopsyllus",NA,"argus",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL124810","124810",NA,124800,NA,NA,NA,NA,NA,"Concavopsylla momonga (Kishida, 1932)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Concavopsylla",NA,"momonga",NA,"SPECIES",NA,NA,NA,"ICZN","SYNONYM",NA,NA,NA,NA,NA
"CoL124820","124820",NA,NA,"x5J",NA,NA,NA,NA,"Monopsyllus fengi Liu Deshan, Xie Baoqi & Wang Dunqing, 1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monopsyllus",NA,"fengi",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL124770","124770",NA,NA,"x5J",NA,NA,NA,NA,"Monopsyllus anisus Rothschild, 1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monopsyllus",NA,"anisus",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL124780","124780",NA,124770,NA,NA,NA,NA,NA,"Concavopsylla caracoi Scalon, 1935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Concavopsylla",NA,"caracoi",NA,"SPECIES",NA,NA,NA,"ICZN","SYNONYM",NA,NA,NA,NA,NA
"CoL124790","124790",NA,124770,NA,NA,NA,NA,NA,"Concavopsylla siana (Liu, 1956)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Concavopsylla",NA,"siana",NA,"SPECIES",NA,NA,NA,"ICZN","SYNONYM",NA,NA,NA,NA,NA
"CoL139180","139180",NA,NA,"x5J",NA,NA,NA,NA,"Monopsyllus carniolicus Brelih & Trilar, 2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monopsyllus",NA,"carniolicus",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoLx5L","x5L",NA,NA,"x5G",NA,NA,NA,NA,"Amphalius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENUS",NA,NA,NA,NA,"ACCEPTED",NA,NA,NA,NA,NA
"CoL122910","122910",NA,NA,"x5L",NA,NA,NA,NA,"Amphalius manosus Li Kueichen, 1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphalius",NA,"manosus",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122900","122900",NA,NA,"x5L",NA,NA,NA,NA,"Amphalius tianshanensis Yu Xin, Ye Ruiyu & Xie Xinchu, 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphalius",NA,"tianshanensis",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122870","122870",NA,NA,"x5L",NA,NA,NA,NA,"Amphalius clarus (Jordan & Rothschild, 1922)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphalius",NA,"clarus",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122890","122890",NA,NA,"122870",NA,NA,NA,NA,"Amphalius clarus kunlunensis Yu Xin & Wang Dunqing, 1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphalius",NA,"clarus","kunlunensis","INFRASPECIFIC_NAME",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122880","122880",NA,NA,"122870",NA,NA,NA,NA,"Amphalius clarus clarus (Jordan & Rothschild, 1922)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphalius",NA,"clarus","clarus","INFRASPECIFIC_NAME",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122950","122950",NA,NA,"x5L",NA,NA,NA,NA,"Amphalius spirataenius Liu Cy, Wu Houyung & Wu Foolin, 1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphalius",NA,"spirataenius",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL123000","123000",NA,NA,"122950",NA,NA,NA,NA,"Amphalius spirataenius qinghaiensis Li Kueichen, Xie Baoqi & Yang Xiaodong, 1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphalius",NA,"spirataenius","qinghaiensis","INFRASPECIFIC_NAME",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122960","122960",NA,NA,"122950",NA,NA,NA,NA,"Amphalius spirataenius spirataenius Liu Cy, Wu Houyung & Wu Foolin, 1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphalius",NA,"spirataenius","spirataenius","INFRASPECIFIC_NAME",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122980","122980",NA,NA,"122950",NA,NA,NA,NA,"Amphalius spirataenius diqingensis Li Kueichen, Xie Baoqi & Yang Xiaodong, 1980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphalius",NA,"spirataenius","diqingensis","INFRASPECIFIC_NAME",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122990","122990",NA,NA,"122950",NA,NA,NA,NA,"Amphalius spirataenius heishuiensis Wang D-q, Chen Jiaxian & Zhai Zhaohua, 1983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphalius",NA,"spirataenius","heishuiensis","INFRASPECIFIC_NAME",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122970","122970",NA,NA,"122950",NA,NA,NA,NA,"Amphalius spirataenius badongensis Ji Shuli, Chen Jiaxian & Wang Dunqing, 1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphalius",NA,"spirataenius","badongensis","INFRASPECIFIC_NAME",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122920","122920",NA,NA,"x5L",NA,NA,NA,NA,"Amphalius runatus (Jordan & Rothschild, 1923)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphalius",NA,"runatus",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122940","122940",NA,NA,"122920",NA,NA,NA,NA,"Amphalius runatus necopinus (Jordan, 1925)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphalius",NA,"runatus","necopinus","INFRASPECIFIC_NAME",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL122930","122930",NA,NA,"122920",NA,NA,NA,NA,"Amphalius runatus runatus (Jordan & Rothschild, 1923)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphalius",NA,"runatus","runatus","INFRASPECIFIC_NAME",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL139170","139170",NA,NA,"x5L",NA,NA,NA,NA,"Amphalius mengdaensis Wu & Wang, 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphalius",NA,"mengdaensis",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoLx48","x48",NA,NA,"xQ",NA,NA,NA,NA,"Ischnopsyllidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAMILY",NA,NA,NA,NA,"ACCEPTED",NA,NA,NA,NA,NA
"CoLx8G","x8G",NA,NA,"x48",NA,NA,NA,NA,"Sternopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GENUS",NA,NA,NA,NA,"ACCEPTED",NA,NA,NA,NA,NA
"CoL138060","138060",NA,NA,"x8G",NA,NA,NA,NA,"Sternopsylla distincta (Rothschild, 1903)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sternopsylla",NA,"distincta",NA,"SPECIES",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL138080","138080",NA,NA,"138060",NA,NA,NA,NA,"Sternopsylla distincta speciosa Johnson, 1957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sternopsylla",NA,"distincta","speciosa","INFRASPECIFIC_NAME",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL138090","138090",NA,NA,"138060",NA,NA,NA,NA,"Sternopsylla distincta texana (C.Fox, 1914)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sternopsylla",NA,"distincta","texana","INFRASPECIFIC_NAME",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
"CoL138070","138070",NA,NA,"138060",NA,NA,NA,NA,"Sternopsylla distincta distincta (Rothschild, 1903)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sternopsylla",NA,"distincta","distincta","INFRASPECIFIC_NAME",NA,NA,NA,"ICZN","ACCEPTED",NA,NA,NA,NA,NA
