"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"BYU1246",NA,NA,NA,NA,NA,NA,NA,NA,"Geusibia digitiformia Gong & Lin, 1990",NA,NA,NA,NA,NA,1990,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Geusibia",NA,"digitiformia",NA,NA,NA,"Gong & Lin, 1990",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Amphipsyllinae"
"BYU1247",NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus digitosignatus Mahnert, 1978",NA,NA,NA,NA,NA,1978,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Ctenophthalmus",NA,"digitosignatus",NA,NA,NA,"Mahnert, 1978",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Ctenophthalminae"
"BYU1248",NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus dilatatus Wagner, 1928",NA,NA,NA,NA,NA,1928,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Ctenophthalmus",NA,"dilatatus",NA,NA,NA,"Wagner, 1928",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Ctenophthalminae"
"BYU1249",NA,NA,NA,NA,NA,NA,NA,NA,"Adoratopsylla dilecta Jordan, 1938",NA,NA,NA,NA,NA,1938,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Adoratopsylla",NA,"dilecta",NA,NA,NA,"Jordan, 1938",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Doratopsyllinae"
"BYU1250",NA,NA,NA,NA,NA,NA,NA,NA,"Thaumapsylla dina Jordan, 1937",NA,NA,NA,NA,NA,1937,NA,NA,NA,NA,"Siphonaptera","Ischnopsyllidae","Thaumapsylla",NA,"dina",NA,NA,NA,"Jordan, 1937",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Thaumapsyllinae"
"BYU1251",NA,NA,NA,NA,NA,NA,NA,NA,"Rhadinopsylla dinaromydis Brelih & Trilar, 2000",NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Rhadinopsylla",NA,"dinaromydis",NA,NA,NA,"Brelih & Trilar, 2000",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Rhadinopsyllinae"
"BYU1252",NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus dinormus Jordan, 1932",NA,NA,NA,NA,NA,1932,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Ctenophthalmus",NA,"dinormus",NA,NA,NA,"Jordan, 1932",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Ctenophthalminae"
"BYU1253",NA,NA,NA,NA,NA,NA,NA,NA,"Sphinctopsylla diomedes Johnson, 1957",NA,NA,NA,NA,NA,1957,NA,NA,NA,NA,"Siphonaptera","Stephanocircidae","Sphinctopsylla",NA,"diomedes",NA,NA,NA,"Johnson, 1957",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Stephanocircidoidea","Craneopsyllinae"
"BYU1254",NA,NA,NA,NA,NA,NA,NA,NA,"Xenopsylla dipodilli Smit, 1960",NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,"Siphonaptera","Pulicidae","Xenopsylla",NA,"dipodilli",NA,NA,NA,"Smit, 1960",NA,NA,NA,NA,NA,"Pulicomorpha","Pulicoidea  ","Spilopsyllinae"
"BYU1255",NA,NA,NA,NA,NA,NA,NA,NA,"Meringis dipodomys Kohls, 1938",NA,NA,NA,NA,NA,1938,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Meringis",NA,"dipodomys",NA,NA,NA,"Kohls, 1938",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Neopsyllinae"
"BYU1256",NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsylla dippiei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Hystrichopsyllidae","Hystrichopsylla",NA,"dippiei",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Hystrichopsyllinae"
"BYU1257",NA,NA,NA,NA,NA,NA,NA,NA,"Frontopsylla diqiengensis Li & Hsieh, 1974",NA,NA,NA,NA,NA,1974,NA,NA,NA,NA,"Siphonaptera","Leptopsyllidae","Frontopsylla",NA,"diqiengensis",NA,NA,NA,"Li & Hsieh, 1974",NA,NA,NA,NA,NA,"Ceratophyllomorpha","Ceratophylloidea","Amphipsyllinae"
"BYU1258",NA,NA,NA,NA,NA,NA,NA,NA,"Dinopsyllus dirus Smit, 1959",NA,NA,NA,NA,NA,1959,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Dinopsyllus",NA,"dirus",NA,NA,NA,"Smit, 1959",NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Dinopsyllinae"
"BYU1259",NA,NA,NA,NA,NA,NA,NA,NA,"Ectinorus disjugis Jordan, 1942",NA,NA,NA,NA,NA,1942,NA,NA,NA,NA,"Siphonaptera","Rhopalopsyllidae","Ectinorus",NA,"disjugis",NA,NA,NA,"Jordan, 1942",NA,NA,NA,NA,NA,"Pulicomorpha","Malacopsylloidea ","Parapsyllinae"
"BYU1260",NA,NA,NA,NA,NA,NA,NA,NA,"Neopsylla dispar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siphonaptera","Ctenophthalmidae","Neopsylla",NA,"dispar",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsyllomorpha","Hystrichopsylloidea","Neopsyllinae"
