Catalog Number,Barcode,Catalog,Class,Order,Family,Scientific Name,Type Status,Type Citation,Other Identifications,Sex and Stage,Preparation,Bioregion,Distribution,Country,Province/State,District/County,Precise Locality,Elevation (m),Centroid Latitude,Centroid Longitude,Field Number,Collector(s),Collecting Date,Specimen Count,Record Status,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Aetheca thamba (Jordan, 1929)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:46,http://n2t.net/ark:/65665/36465e9ab-3fed-45a6-961d-151b3262136e
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Ceratophyllus (Monopsyllus) argus Rothschild, 1908",,,,,Slide,,,,,,,,,,,,,7,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:49,http://n2t.net/ark:/65665/3bea57cf2-f20b-4d2b-bc8e-7dce62e89a54
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Macrostylophora pilata (Jordan & Rothschild, 1922)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:51,http://n2t.net/ark:/65665/315793d48-2dc4-4773-8234-beb8c34502d4
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Ceratophyllus (Monopsyllus) anisus Rothschild, 1907",,,,,Slide,,,,,,,,,,,,,106,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:49,http://n2t.net/ark:/65665/3e0165942-3190-4cf3-a82e-73361147d604
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Ceratophyllus (Monopsyllus) indages Rothschild, 1908",,,,,Slide,,,,,,,,,,,,,13,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:49,http://n2t.net/ark:/65665/376815be7-87cd-4398-a032-9d5d432be6fb
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Libyastus infestus (Rothschild, 1908)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:51,http://n2t.net/ark:/65665/3ac40ed40-d716-4dae-8ae7-f7c74e5ea7cd
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Libyastus wilsoni Hubbard, 1963",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:51,http://n2t.net/ark:/65665/354f10796-ee58-485e-b9b8-cf79b615f9bb
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Malaraeus sinomus (Jordan, 1925)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:52,http://n2t.net/ark:/65665/3bb73310c-a2b1-4ce1-a656-2a82df1f7ea2
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Megabothris (Amegabothris) groenlandicus (Wahlgren, 1903)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:52,http://n2t.net/ark:/65665/3f02cf029-df54-452c-81fc-4545884a6726
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Megabothris (Amegabothris) lucifer (Rothschild, 1905)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:52,http://n2t.net/ark:/65665/3e5482277-4a73-4e03-a3cf-11620d31ad4c
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Megabothris (Amegabothris) quirini (Rothschild, 1905)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:52,http://n2t.net/ark:/65665/30f369629-deec-4b56-97e7-993464bb66c8
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Megabothris (Kueichenlipsylla) atrox (Jordan, 1925)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:52,http://n2t.net/ark:/65665/346e38def-ff6d-423b-b97e-168d67004b55
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Megabothris (Kueichenlipsylla) rhipisoides Kueichen & Dwenching, 1964",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:52,http://n2t.net/ark:/65665/30667032d-e62a-4478-8d94-b2121143a6fc
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Megabothris (Megabothris) acerbus (Jordan, 1925)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:52,http://n2t.net/ark:/65665/34ccc195f-7aa0-45de-9b7d-19094fdea2b4
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Megabothris (Megabothris) asio gregsoni (Holland, 1950)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:52,http://n2t.net/ark:/65665/35ffefe02-11e0-45f3-a9ae-46aafe96e98b
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Myoxopsylla (Myoxopsylla) laverani laverani (Rothschild, 1911)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:53,http://n2t.net/ark:/65665/3395fb28b-3362-4060-bbef-e651bffcb8bb
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,Nosopsyllus (Gerbillophilus) henleyi,,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:53,http://n2t.net/ark:/65665/397526374-f1f8-4ec6-b08a-9bc94fa15ab3
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Nosopsyllus (Gerbillophilus) oranus (Jordan, 1931)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:53,http://n2t.net/ark:/65665/38ada9981-bb8a-4bf3-8195-afb8f4afb025
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Nosopsyllus (Nosopsyllus) atlantis Jordan, 1937",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:53,http://n2t.net/ark:/65665/30a415e19-bb04-4584-abc4-0ab7da281885
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Nosopsyllus (Nosopsyllus) barbarus (Jordan & Rothschild, 1912)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:53,http://n2t.net/ark:/65665/3ac925b15-6238-4192-8fc2-60c000a3cf03
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Nosopsyllus (Nosopsyllus) durii Hubbard, 1956",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:53,http://n2t.net/ark:/65665/32842929c-4824-44b8-b747-cef6afed70ef
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Nosopsyllus (Nosopsyllus) incisus (Jordan & Rothschild, 1913)",,,,,Slide,,,,,,,,,,,,,2,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:53,http://n2t.net/ark:/65665/3365504e8-eb99-49f8-aabe-250e5192c320
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Nosopsyllus (Nosopsyllus) londiniensis londiniensis (Rothschild, 1903)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:53,http://n2t.net/ark:/65665/3a3af28c2-18fc-47fb-85a0-b3b083c6cfc1
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Nosopsyllus (Nosopsyllus) mikulini (Kunitsky & Kynitskaya, 1961)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:53,http://n2t.net/ark:/65665/380564856-7b74-4fc0-b6b4-0bdf587cc6f3
,,Species Inventory,Insecta,Siphonaptera,Ceratophyllidae,"Nosopsyllus (Nosopsyllus) mokrzeckyi (Wagner, 1916)",,,,,Slide,,,,,,,,,,,,,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",,,,,,,,9/30/2014 14:53,http://n2t.net/ark:/65665/340be3d8b-087f-4685-89bf-60841010baf2
