class,order,family,type.status,distribution,record.status,number,genus,subgenus,specificEpithet,infraspecificEpithet,scientificNameAuthorship,canonical
Insecta,Siphonaptera,Ischnopsyllidae,NA,Colombia,"Reviewed, 2011, Submitted by F. Shockley, SI.",377,NA,NA,NA,NA,",",Ischnopsyllidae
Insecta,Siphonaptera,Vermipsyllidae,NA,"United States (Alaska, Wisconsin)","Reviewed, 2011, Submitted by F. Shockley, SI.",1033,NA,NA,NA,NA,",",Vermipsyllidae
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",1,Nosopsyllus,(Nosopsyllus),londiniensis,declivus,"Traub, 1963,",Nosopsyllus londiniensis declivus
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",2,Kohlsia,NA,traubi,NA,"Tipton & Mendez, 1961,",Kohlsia traubi
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",3,Nosopsyllus,(Penicus),geneatus,NA,"Traub, 1963,",Nosopsyllus geneatus
Insecta,Siphonaptera,Hystrichopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",4,Ctenophthalmus,(Mediocte),russulae,tangerensis,",",Ctenophthalmus russulae tangerensis
Insecta,Siphonaptera,Hystrichopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",5,Epitedia,NA,cavernicola,NA,"Traub, 1957,",Epitedia cavernicola
Insecta,Siphonaptera,Rhopalopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",6,Ectinorus,NA,hecate,NA,"Johnson, 1957,",Ectinorus hecate
Insecta,Siphonaptera,Rhopalopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",7,Ectinorus,(Ectinorus),gallardoi,NA,"Hastriter, 2001,",Ectinorus gallardoi
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",8,Macrostylophora,NA,levis,NA,"Jordan & Rothschild, 1922,",Macrostylophora levis
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",9,Myoxopsylla,NA,laverani,traubi,"Lewis, 1966,",Myoxopsylla laverani traubi
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",10,Thrassis,NA,francisi,barnesi,"Stark, 1970,",Thrassis francisi barnesi
Insecta,Siphonaptera,Hystrichopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",11,Phalacropsylla,NA,hamata,NA,"Tipton & Mendez, 1968,",Phalacropsylla hamata
Insecta,Siphonaptera,Hystrichopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",12,Rhadinopsylla,(Micropsylla),sectilis,goodi,",",Rhadinopsylla sectilis goodi
Insecta,Siphonaptera,Rhopalopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",13,Ectinorus,NA,chilensis,NA,"Lewis, 1976,",Ectinorus chilensis
Insecta,Siphonaptera,Rhopalopsyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.. Reviewed, 2011, Captured by M.Wolkoff and M.O’Mahoney, interns WRBU.",14,Ectinorus,NA,martini,NA,"Lewis, 1976,",Ectinorus martini
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",15,Aetheca,NA,thamba,NA,"Jordan, 1929,",Aetheca thamba
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",16,Ceratophyllus,(Monopsyllus),argus,NA,"Rothschild, 1908,",Ceratophyllus argus
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",17,Macrostylophora,NA,pilata,NA,"Jordan & Rothschild, 1922,",Macrostylophora pilata
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",18,Ceratophyllus,(Monopsyllus),anisus,NA,"Rothschild, 1907,",Ceratophyllus anisus
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",19,Ceratophyllus,(Monopsyllus),indages,NA,"Rothschild, 1908,",Ceratophyllus indages
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",20,Libyastus,NA,infestus,NA,"Rothschild, 1908,",Libyastus infestus
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",21,Libyastus,NA,wilsoni,NA,"Hubbard, 1963,",Libyastus wilsoni
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",22,Malaraeus,NA,sinomus,NA,"Jordan, 1925,",Malaraeus sinomus
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",23,Megabothris,(Amegabothris),groenlandicus,NA,"Wahlgren, 1903,",Megabothris groenlandicus
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",24,Megabothris,(Amegabothris),lucifer,NA,"Rothschild, 1905,",Megabothris lucifer
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",25,Megabothris,(Amegabothris),quirini,NA,"Rothschild, 1905,",Megabothris quirini
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",26,Megabothris,(Kueichenlipsylla),atrox,NA,"Jordan, 1925,",Megabothris atrox
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",27,Megabothris,(Kueichenlipsylla),rhipisoides,NA,"Kueichen & Dwenching, 1964,",Megabothris rhipisoides
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",28,Megabothris,(Megabothris),acerbus,NA,"Jordan, 1925,",Megabothris acerbus
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",29,Megabothris,(Megabothris),asio,gregsoni,"Holland, 1950,",Megabothris asio gregsoni
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",30,Myoxopsylla,(Myoxopsylla),laverani,laverani,"Rothschild, 1911,",Myoxopsylla laverani laverani
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",31,Nosopsyllus,(Gerbillophilus),henleyi,NA,",",Nosopsyllus henleyi
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",32,Nosopsyllus,(Gerbillophilus),oranus,NA,"Jordan, 1931,",Nosopsyllus oranus
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",33,Nosopsyllus,(Nosopsyllus),atlantis,NA,"Jordan, 1937,",Nosopsyllus atlantis
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",34,Nosopsyllus,(Nosopsyllus),barbarus,NA,"Jordan & Rothschild, 1912,",Nosopsyllus barbarus
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",35,Nosopsyllus,(Nosopsyllus),durii,NA,"Hubbard, 1956,",Nosopsyllus durii
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",36,Nosopsyllus,(Nosopsyllus),incisus,NA,"Jordan & Rothschild, 1913,",Nosopsyllus incisus
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",37,Nosopsyllus,(Nosopsyllus),londiniensis,londiniensis,"Rothschild, 1903,",Nosopsyllus londiniensis londiniensis
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",38,Nosopsyllus,(Nosopsyllus),mikulini,NA,"Kunitsky & Kynitskaya, 1961,",Nosopsyllus mikulini
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",39,Nosopsyllus,(Nosopsyllus),mokrzeckyi,NA,"Wagner, 1916,",Nosopsyllus mokrzeckyi
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",40,Nosopsyllus,(Nosopsyllus),philippovi,rashtii,"1970,",Nosopsyllus philippovi rashtii
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",41,Nosopsyllus,(Nosopsyllus),punjabensis,NA,"Jordan & Rothschild, 1921,",Nosopsyllus punjabensis
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",42,Nosopsyllus,(Nosopsyllus),simla,NA,"Jordan & Rothschild, 1921,",Nosopsyllus simla
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",43,Nosopsyllus,(Nosopsyllus),wualis,NA,",",Nosopsyllus wualis
Insecta,Siphonaptera,Ceratophyllidae,NA,,"Reviewed, 2011, Submitted by F. Shockley, SI.",44,Orchopeas,NA,howardi,bolivari,"Barrera, 1955,",Orchopeas howardi bolivari
