"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"GBIF6194181",6194181,NA,6194181,NA,NA,NA,NA,NA,"Ceratophyllus ciliatus kincaidi (Hubbard, 1947)","Ceratophyllus ciliatus kincaidi (Hubbard, 1947)",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus",NA,"ciliatus","kincaidi","SUBSPECIES",NA,"Hubbard, 1947",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF6194320",6194320,NA,6194320,NA,NA,NA,NA,NA,"Orchopeas caedens durus (Jordan, 1929)","Orchopeas caedens durus (Jordan, 1929)",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Orchopeas",NA,"caedens","durus","SUBSPECIES",NA,"Jordan, 1929",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF6194520",6194520,NA,6194520,NA,NA,NA,NA,NA,"Palaeopsylla soricis starki Wagner, 1930","Palaeopsylla soricis starki Wagner, 1930",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Palaeopsylla",NA,"soricis","starki","SUBSPECIES",NA,"Wagner, 1930",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF7045140",7045140,NA,7045140,NA,NA,NA,NA,NA,"Neopsylla setosa setosa","Neopsylla setosa setosa",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Neopsylla",NA,"setosa","setosa","SUBSPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GBIF7198641",7198641,NA,7198641,NA,NA,NA,NA,NA,"Peromyscopsylla spectabilis spectabilis","Peromyscopsylla spectabilis spectabilis",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","Peromyscopsylla",NA,"spectabilis","spectabilis","SUBSPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GBIF10489172",10489172,NA,10489172,NA,NA,NA,NA,NA,"BOLD:ACD7675","BOLD:ACD7675",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae",NA,NA,NA,NA,"UNRANKED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1417506",1417506,NA,1417506,NA,NA,NA,NA,NA,"Lagaropsylla idae Smit, 1957","Lagaropsylla idae Smit, 1957",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Lagaropsylla",NA,"idae",NA,"SPECIES",NA,"Smit, 1957",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1418915",1418915,NA,1418915,NA,NA,NA,NA,NA,"Megarthroglossus jamesoni Smit, 1953","Megarthroglossus jamesoni Smit, 1953",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Megarthroglossus",NA,"jamesoni",NA,"SPECIES",NA,"Smit, 1953",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF6194156",6194156,NA,6194156,NA,NA,NA,NA,NA,"Thrassis aridis arcuatus Stark, 1957","Thrassis aridis arcuatus Stark, 1957",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Thrassis",NA,"aridis","arcuatus","SUBSPECIES",NA,"Stark, 1957",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1416650",1416650,NA,1416650,NA,NA,NA,NA,NA,"Foxella Wagner, 1929","Foxella Wagner, 1929",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Foxella",NA,NA,NA,"GENUS",NA,"Wagner, 1929",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1418586",1418586,NA,1418586,NA,NA,NA,NA,NA,"Strepsylla taluna Traub & Johnson, 1952","Strepsylla taluna Traub & Johnson, 1952",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Strepsylla",NA,"taluna",NA,"SPECIES",NA,"Traub & Johnson, 1952",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1418879",1418879,NA,1418879,NA,NA,NA,NA,NA,"Epitedia stewarti Hubbard, 1940","Epitedia stewarti Hubbard, 1940",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Epitedia",NA,"stewarti",NA,"SPECIES",NA,"Hubbard, 1940",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF1419561",1419561,NA,1419561,NA,NA,NA,NA,NA,"Spilopsyllus Baker, 1905","Spilopsyllus Baker, 1905",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Spilopsyllus",NA,NA,NA,"GENUS",NA,"Baker, 1905",NA,NA,NA,NA,NA,NA,NA,NA
"GBIF5050773",5050773,NA,5050773,NA,NA,NA,NA,NA,"Ctenophthalmus secundus iubatus Peus, 1977","Ctenophthalmus secundus iubatus Peus, 1977",NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Ctenophthalmus",NA,"secundus","iubatus","SUBSPECIES",NA,"Peus, 1977",NA,NA,NA,NA,NA,NA,NA,NA
