Order,Infraorder,Superfamily,FAMILY,SUBFAMILY,GENUS,SPECIES,subspecies,Author,YEAR,SYNONYM(S),,Fossil
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Ceratophyllidae,Ceratophyllinae,Thrassis,augustsoni,,Hubbard,1949,,,
Siphonaptera,Pulicomorpha,Pulicoidea  ,Pulicidae,Spilopsyllinae,Xenopsylla,australiaca,,Mardon & Dunnet,1971,,,
Siphonaptera,Pulicomorpha,Malacopsylloidea ,Rhopalopsyllidae,Parapsyllinae,Parapsyllus,australiacus,,Rothschild,1909,,,
Siphonaptera,Pulicomorpha,Malacopsylloidea ,Rhopalopsyllidae,Rhopalopsyllinae,Rhopalopsyllus,australis,,,,,,
Siphonaptera,Pygiopsyllomorpha,Pygiopsylloidea,Stivaliidae,,Ctenidiosomus,austrinus,,"López-Berrizbeitia, Hastriter & Díaz",2015,,,
Siphonaptera,Pygiopsyllomorpha,Pygiopsylloidea,Stivaliidae,,Parastivalius,avicularius,,Hastriter,2004,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Neopsyllinae,Neopsylla,avida,,Jordan,1931,,,
Siphonaptera,Pulicomorpha,Malacopsylloidea ,Rhopalopsyllidae,Rhopalopsyllinae,Polygenis,axius,,,,,,
Siphonaptera,Pygiopsyllomorpha,Pygiopsylloidea,Stivaliidae,,Afristivalius ,azevedoi,,(Ribeiro),1975,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Ceratophyllidae,Ceratophyllinae,Plusaetis,aztecus,,(Barrera),1954,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Ceratophyllidae,Ceratophyllinae,Kohlsia,azuerensis,,Tipton & Mendez,1966,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Ceratophyllidae,Ceratophyllinae,Thrassis,bacchi,,(Rothschild),1905,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Ctenophthalminae,Ctenophthalmus,bacopus,,Jordan,1933,"Ctenophthalmus segregus Jordan, 1937",,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Neopsyllinae,Neopsylla,bactriana,,Ioff,1953,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Ctenophthalminae,Ctenophthalmus,baeticus,,,,,,
Siphonaptera,Pulicomorpha,Coptopsylloidea,Coptopsyllidae,,Coptopsylla,bairamaliensis,,Wagner,1928,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Ceratophyllidae,Ceratophyllinae,Nosopsyllus,baltazardi,,Farhang-Azad,1970,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Ctenophthalminae,Palaeopsylla,baltica,,Beaucournu & Wunderlich,2001,,,(FOSSIL)
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Neopsyllinae,Neopsylla,bana,,Beaucournu & Sountsov,1997,,,
Siphonaptera,Pulicomorpha,Coptopsylloidea,Coptopsyllidae,,Coptopsylla,barbarae,,Lewis,1973,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Ceratophyllidae,Ceratophyllinae,Nosopsyllus,barbarus,,(Jordan & Rothschild),1912,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Doratopsyllinae,Corrodopsylla,barrerai,,Traub & Evans,1967,,,
Siphonaptera,Pulicomorpha,Malacopsylloidea ,Rhopalopsyllidae,Parapsyllinae,Ectinorus,barrerai,,(Jordan),1939,,,
Siphonaptera,Pygiopsyllomorpha,Pygiopsylloidea,Stivaliidae,,Papuapsylla,barretti,,Holland,1969,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Leptopsyllidae,Leptopsyllinae,Cratynius,bartelsi,,Jordan,1933,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Leptopsyllidae,Amphipsyllinae,Typhlomyopsyllus,bashanensis,,Liu & Wang,1995,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Listropsyllinae,Listropsylla,basilewskyi,,Smit,1960,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Ischnopsyllidae,Ischnopsyllinae,Porribius,bathyllus,,(M. Rothschild),1936,,,
Siphonaptera,Pygiopsyllomorpha,Pygiopsylloidea,Stivaliidae,,Medwayella,batibacula,,Traub,1972,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Ctenophthalminae,Ctenophthalmus,baueri,,Peus,1978,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Chimaeropsyllidae,Chimaeropsyllinae,Hypsophthalmus,baxteri,,Hastriter,2001,,,
Siphonaptera,Pulicomorpha,Pulicoidea  ,Pulicidae,Spilopsyllinae,Xenopsylla,bechuanae,,DeMeillon,1947,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Anomiopsyllinae,Jordanopsylla,becki,,Hastriter,2000,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Anomiopsyllinae,Megarthroglossus,becki,,Tipton & Allred,1952,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Rhadinopsyllinae,Rhadinopsylla,beillardae,,Beaucournu & Launay,1978,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Ceratophyllidae,Ceratophyllinae,Callopsylla,beishanensis,,Wu Ni & Wu,1986,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Rhadinopsyllinae,Nearctopsylla,beklemischevi,,Ioff,1950,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Ceratophyllidae,Ceratophyllinae,Megabothris,beljaevi,,(Emelyanova),1966,,,
Siphonaptera,Pygiopsyllomorpha,Pygiopsylloidea,Pygiopsyllidae,,Acanthopsylla,bella,,Smit,1953,,,
Siphonaptera,Hystrichopsyllomorpha,Stephanocircidoidea,Stephanocircidae,Craneopsyllinae,Tiarapsylla,bella,,Johnson,1956,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Rhadinopsyllinae,Rhadinopsylla,biconcava,,"Chen, Ji & Wu",1984,,,
Siphonaptera,Ceratophyllomorpha,Ceratophylloidea,Leptopsyllidae,Leptopsyllinae,Peromyscopsylla,bidentata,,,,,,
Siphonaptera,Hystrichopsyllomorpha,Hystrichopsylloidea,Ctenophthalmidae,Neopsyllinae,Neopsylla,bidentatiformis,,(Wagner),1893,,,
Siphonaptera,Pygiopsyllomorpha,Pygiopsylloidea,Stivaliidae,,Parastivalius,bidenticulatus,,Hastriter,2004,,,
