Class,Subclass,Superorder,Order,Superfamily,Family,Subfamily,Genus,Species,Subgenus,Subspecies,Author,Males,Females,Nymphs,Larvae
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,HEINRICHI,AFRIXODES,,ARTHUR,0,2,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,HEXAGONUS,PHOLEOIXODES,,LEACH,36,319,486,576
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,HIMALAYENSIS,IXODES,,DHANDA  KULKARNI,0,5,50,5
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,HIRSTI,STERNALIXODES,,HASSALL,0,4,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,HOLDENRIEDI,PHOLEOIXODES,,COOLEY 1946,0,2,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,HOLOCYCLUS,STERNALIXODES,,NEUMANN,22,48,93,48
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,HOOGSTRAALI,IXODES,,ARTHUR,0,7,0,2
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,HOWELLI,SCAPHIXODES,,COOLEY  KOHLS 1938,255,240,465,117
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,HYATTI,IXODES,,CLIFFORD  HOOGSTRAAL  KOHLS,4,9,48,61
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,INOPINATUS,,,"Estrada-Pena, Nava & Petney, 2014",,,,
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,JACKSONI,CERATIXODES,,HOOGSTRAAL 1967,5,2,11,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,JELLISONI,IXODES,,COOLEY  KOHLS 1938,1,19,9,61
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,JONESAE,EXOPALPIGER,,KOHLS  SONENSHINE  CLIFFORD,1,2,7,76
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,KAISERI,PHOLEOIXODES,,ARTHUR,0,22,52,12
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,KASHMIRICUS,IXODES,,POMERANTZEV,11,39,0,17
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,KAZAKSTANI,IXODES,,OLENEV  SOROKOUMOUV,3,4,2,10
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,KERGUELENENSIS,MULTIDENTATUS,,ANDRE  COLAS-BELCOUR,1,1,1,5
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,KINGI,PHOLEOIXODES,,BISHOPP,94,268,401,311
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,KOHLSI,MULTIDENTATUS,,ARTHUR 1955,5,26,18,233
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,KOPSTEINI,LEPIDIXODES,,OUDEMANS,3,20,137,278
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,KUNTZI,IXODES,,HOOGSTRAAL  KOHLS,1,15,141,360
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,LAGURI,IXODES,,OLENEV,0,2,15,21
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,LAGURI,IXODES,LAGURI,OLENEV,0,1,5,6
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,LASALLEI,IXODES,,MENDEZ  AROCHA  ORTIZ,3,40,27,3
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,LATIROSTRIS,PHOLEOIXODES,,SCHULZE,0,1,2,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,LATUS,AFRIXODES,,ARTHUR,0,1,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,LAYSANENSIS,MULTIDENTATUS,,WILSON,1,107,57,5
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,LEMURIS,AFRIXODES,,ARTHUR,1,3,4,4
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,LEPIDUM,,,,2,4,,
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,LEWISI,AFRIXODES,,ARTHUR,126,816,91,9
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,LIVIDUS,PHOLEOIXODES,,KOCH,43,128,12,727
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,LONGISCUTATUM,,,BOERO,1,1,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,LORICATUS,IXODES,,NEUMANN,76,579,61,34
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,LUCIAE,IXODES,,SENEVET,103,193,185,161
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,LUNATUS,IXODES,,NEUMANN,0,11,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,LUXURIOSUS,ENDOPALPIGER,,SCHULZE,5,102,449,501
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,MACFARLANEI,,,"Keirans, Clifford & Walker, 1982",1,3,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,MACULATUM,,,,,1,,
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,MALAYENSIS,IXODES,,KOHLS 1962,4,4,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,MARMOTAE,PHOLEOIXODES,,COOLEY  KOHLS,22,61,133,29
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,MARXI,PHOLEOIXODES,,BANKS,22,127,157,165
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,MATOPI,AFRIXODES,,SPICKETT A.M.  KEIRANS J.E. NORVAL,18,23,30,88
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,MEXICANUS,IXODES,,COOLEY  KOHLS 1942,0,3,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,MICROGALEI,,,"Apanaskevich, Soarimalala & Goodman, 2013",0,2,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,MINDANENSIS,MULTIDENTATUS,,KOHLS,0,1,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,MINOR,IXODES,,NEUMANN,11,23,44,70
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,MITCHELLI,SCAPHIXODES,,KOHLS  CLIFFORD  HOOGSTRAAL 1970,0,9,9,27
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,MONOSPINOSUS,IXODES,,SAITO,0,4,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,MONTOYANUS,IXODES,,COOLEY 1944,1,86,93,15
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,MORELI,AFRIXODES,,ARTHUR,4,11,1,1
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,MUNIENSIS,AFRIXODES,,ARTHUR  BURROW,0,13,25,1
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,MUNTIACUS,IXODES,MUNTIACUS,SCHULZE,0,3,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,MURIS,IXODES,,BISHOPP  SMITH,17,40,63,85
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,MURRELETI,MULTIDENTATUS,,COOLEY  KOHLS 1945,0,1,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,MYOTOMYS,AFRIXODES,,CLIFFORD  HOOGSTRAAL 1970,0,1,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,NAIROBIENSIS,AFRIXODES,,NUTTALL,0,3,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,NCHISIENSIS,AFRIXODES,,ARTHUR,1,6,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,NECTOMYS,IXODES,,KOHLS,1,0,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,NEITZI,AFRIXODES,,CLIFFORD  WALKER,6,12,1,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,NEOTOMAE,IXODES,,COOLEY 1944,16,43,45,268
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,NESOMYS,AFRIXODES,,UILENBERG  HOOGSTRAAL 1969,0,2,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,neuquenensis,,,"Ringuelet, 1947",0,2,4,11
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,NIPPONENSIS,IXODES,,KITAOKA  SAITO,9,15,38,70
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,NITENS,,,NEUMANN,0,1,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,NUTTALLI,PHOLEOIXODES,,LAHILLE,1,2,4,26
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,NUTTALLIANUS,IXODES,,SCHULZE,15,116,12,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,OCCULTUS,IXODES,,POMERANTZEV,0,2,0,1
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,OCHOTONAE,PHOLEOIXODES,,GREGSON,2,48,173,89
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,OKAPIAE,AFRIXODES,,ARTHUR  BURROW,0,1,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,OLDI,AFRIXODES,,NUTTALL,3,18,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,ORNITHORHYNCHI,COXIXODES,,LUCAS,0,35,138,24
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,OVATUS,PARTIPALPIGER,,NEUMANN,625,1861,153,23671
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,OZARKUS,IXODES,,COOLEY 1944,4,9,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,PACIFICUS,IXODES,,COOLEY  KOHLS,3464,3725,360,255
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,PARADOXUS,LEPIDIXODES,,KOHLS  CLIFFORD,0,7,1,4
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,paranaensis,,,"Barrow-Battesi, Arzua, Pichorin, Keirans, 2003",,1,1,
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,PARARICINUS,IXODES,,KEIRANS AND CLIFFORD,2,9,,
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,PASSERICOLA,PHOLEOIXODES,,SCHULZE,0,0,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,PAULOPUNCTATUM,,,NEUMANN,,,4,
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,PAVLOVSKYI,IXODES,,POMERANTZEV,7,13,10,9
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,PERCAVATUS,MULTIDENTATUS,,NEUMANN,0,5,8,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,PEROMYSCI,IXODES,,AUGUSTSON,1,2,1,4
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,PERSULCATUS,IXODES,,SCHULZE,222,263,28,204
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,PETAURISTAE,IXODES,,WARBURTON,4,8,10,1
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,PHILIPI,SCAPHIXODES,,KEIRANS  KOHLS 1970,0,2,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,PHOLEOIXODES,,,,,2,4,
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,PILOSUS,AFRIXODES,,KOCH,51,89,37,85
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,POMERANTZEVI,,,"Serdyukova, 1941",,2,6,19
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,POMERANTZI,IXODES,,KOHLS,16,21,39,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,PRATTI,,,,0,0,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,PRISCICOLLARIS,EXOPALPIGER,,SCHULZE,0,1,1,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,PROCAVIAE,AFRIXODES,,ARTHUR  BURROW,2,5,1,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,QUINQUESTRIATUS,,,,,4,,
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,RADFORDI,AFRIXODES,,KOHLS 1948,1,18,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,RAGEAUI,AFRIXODES,,ARTHUR,0,1,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,RANDRIANASOLOI,AFRIXODES,,UILENBERG  HOOGSTRAAL 1969,0,2,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,RASUS,AFRIXODES,RASUS,NEUMANN,0,4,3,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,RASUS,AFRIXODES,,NEUMANN,8,31,8,7
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,REDIKORZEVI,IXODES,,OLENEV,7,53,133,89
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,RHABDOMYSAE,AFRIXODES,,ARTHUR,2,12,172,1
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,RICINUS,IXODES,,(LINNAEUS),334,828,1542,3373
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,RICINUS,IXODES,GIBBOSUS,NUTTALL,0,0,1,2
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,RICINUS,,PACIFICUS,,0,0,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,ROBERTSONII,,,,2,,,
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,ROTHSCHILDI,MULTIDENTATUS,,NUTTALL  WARBURTON,0,24,156,1
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,ROTUNDATUS,IXODES,,ARTHUR,0,2,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,RUBICUNDUS,AFRIXODES,,NEUMANN,5,15,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,RUBIDUS,PHOLEOIXODES,,NEUMANN,2,55,37,5
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,RUGICOLLIS,PHOLEOIXODES,,SCHULZE  SCHLOTTKE,0,2,1,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,RUGOSUS,PHOLEOIXODES,,BISHOPP,11,62,174,197
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SCAPULARIS,IXODES,,SAY,2776,6151,782,1669
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SCHILLINGSI,AFRIXODES,,NEUMANN,4,17,3,13
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SCHULZEI,IXODES,,ARAGAO  FONSECA,0,1,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SCULPTUS,PHOLEOIXODES,NEUMANN,NEUMANN,1,8,55,3
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SCULPTUS,PHOLEOIXODES,,NEUMANN,86,1178,3027,278
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SHAHI,,,CLIFFORD  HOOGSTRAAL  KOHLS,0,3,6,8
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SIGELOS,IXODES,,KEIRANS  CLIFFORD  CORWIN,0,13,46,10
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SIGNATUS,SCAPHIXODES,,BIRULA,16,124,125,38
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SIMPLEX,ESCHATOCEPHALUS,AFRICANUS,ARTHUR,0,1,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SIMPLEX,ESCHATOCEPHALUS,SIMPLEX,NEUMANN,0,4,2,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SIMPLEX,ESCHATOCEPHALUS,,NEUMANN,6,32,52,132
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SINALOA,IXODES,,KOHLS  CLIFFORD,0,13,37,21
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,sinensis,,,"Teng, 1977",1,4,,
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SORICIS,PHOLEOIXODES,,GREGSON,22,195,75,217
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SP.,AFRIXODES,,,1,1,2,1
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SP.,ENDOPALPIGER,,,0,0,10,2
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SP.,EXOPALPIGER,,,1,0,1,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SP.,IXODES,,,0,1,4,1
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SP.,MULTIDENTATUS,,,,,1,
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SP.,PHOLEOIXODES,,,0,0,0,6
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SP.,STERNALIXODES,,,0,0,14,103
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SP.,,,,86,461,4276,9437
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SPINAE,AFRIXODES,,ARTHUR,0,6,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SPINICOXALIS,IXODES,,NEUMANN,1,7,29,108
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SPINIPALPIS,IXODES,,HADWEN  NUTTALL,109,163,305,617
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,STEINI,ENDOPALPIGER,,SCHULZE,2,34,32,36
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,STILESI,IXODES,,NEUMANN,0,5,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,STROMI,PHOLEOIXODES,,FILIPPOVA,0,4,11,20
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,SUBTERRANUS,PHOLEOIXODES,,FILIPPOVA,1,0,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,TAGLEI,PHOLEOIXODES,,KOHLS 1969,2,22,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,TAMAULIPAS,IXODES,,KOHLS  CLIFFORD 1966,0,4,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,TANCITARIUS,IXODES,,COOLEY  KOHLS 1942,0,2,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,TANUKI,IXODES,,SAITO,13,19,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,TAPIRUS,IXODES,,KOHLS,0,10,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,TASMANI,ENDOPALPIGER,,NEUMANN,12,85,165,58
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,TEXANUS,PHOLEOIXODES,,BANKS,19,257,388,481
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,THEILERAE,IXODES,,ARTHUR,0,4,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,THOMASAE,AFRIXODES,,ARTHUR  BURROW 1957,4,39,4,6
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,TIPTONI,IXODES,,KOHLS  CLIFFORD,1,12,15,68
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,TOVARI,IXODES,,COOLEY 1945,15,20,13,3
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,TRANSCAUCASICUS,IXODES,,SCHULZE,0,2,1,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,TRANSVAALENSIS,AFRIXODES,,CLIFFORD  HOOGSTRAAL,0,2,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,TRIANGULICEPS,EXOPALPIGER,,BIRULA,6,70,66,93
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,TRICHOSURI,STERNALIXODES,,ROBERTS,2,0,5,12
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,TROPICALIS,IXODES,,KOHLS,0,17,2,1
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,TURDUS,IXODES,,NAKATSUJI,0,7,4,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,UGANDANUS,AFRIXODES,,NEUMANN,0,9,18,3
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,UNICAVATUS,SCAPHIXODES,,NEUMANN,0,6,11,4
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,URIAE,CERATIXODES,,WHITE,632,1653,1269,1236
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,URUGUAYENSIS,HAEMIXODES,,KOHLS  CLIFFORD,0,0,1,5
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,VANIDICUS,AFRIXODES,,SCHULZE,2,13,0,3
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,VENEZUELENSIS,IXODES,,KOHLS 1953,0,60,112,116
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,VENTALLOI,IXODES,,GIL COLLADO,5,3,9,64
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,VESPERTILIONIS,ESCHATOCEPHALUS,,KOCH,3,18,41,52
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,VESTITUS,,,NEUMANN,0,1,5,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,VICTORIENSIS,,,NUTTALL,0,1,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,WALKERAE,AFRIXODES,,CLIFFORD  KOHLS  HOOGSTRAAL 1968,1,9,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,WERNERI,IXODES,,KOHLS,3,45,7,200
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,WOODI,PHOLEOIXODES,,BISHOPP,23,42,83,90
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,IXODES,ZAGLOSSI,ENDOPALPIGER,,KOHLS,1,22,62,26
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,BOOPHILUS,ANNULATUS,,,(SAY),3825,11160,2238,1539
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,BOOPHILUS,CALCARATUS,,HISPANICUS,MINNING,2,1,0,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,BOOPHILUS,CALCARATUS,,,BIRULA,60,531,26,1
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,BOOPHILUS,DECOLORATUS,,,(KOCH),948,2967,294,2409
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,BOOPHILUS,FLORAE,,,,1,1,,
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,BOOPHILUS,GEIGYI,,,AESCHLIMANN  MOREL,119,3013,174,0
Arachnida,Acari,Parasitiformes,Ixodida,Ixodoidea,Ixodidae,,BOOPHILUS,INTRAOCULATUS,,,MINNING 1936,0,2,0,0
