TPTID,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,infraorder,superfamily,subfamily,canonical
CoLxAY,xAY,,,xAW,,,,,Coptopsylla,,,,,,,,,,,,,Coptopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Coptopsylla
CoLx86,x86,,,x84,,,,,Xiphiopsylla,,,,,,,,,,,,,Xiphiopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Xiphiopsylla
CoLx7A,x7A,,,xS,,,,,Paradoxopsyllus,,,,,,,,,,,,,Paradoxopsyllus,,,,GENUS,,,,,ACCEPTED,,,,,,Paradoxopsyllus
CoLx7L,x7L,,,xS,,,,,Hopkinsipsylla,,,,,,,,,,,,,Hopkinsipsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Hopkinsipsylla
CoLx76,x76,,,xS,,,,,Phaenopsylla,,,,,,,,,,,,,Phaenopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Phaenopsylla
CoLx78,x78,,,xS,,,,,Dolichopsyllus,,,,,,,,,,,,,Dolichopsyllus,,,,GENUS,,,,,ACCEPTED,,,,,,Dolichopsyllus
CoLx7C,x7C,,,xS,,,,,Ophthalmopsylla,,,,,,,,,,,,,Ophthalmopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Ophthalmopsylla
CoLx7J,x7J,,,xS,,,,,Minyctenopsyllus,,,,,,,,,,,,,Minyctenopsyllus,,,,GENUS,,,,,ACCEPTED,,,,,,Minyctenopsyllus
CoLx7E,x7E,,,xS,,,,,Odontopsyllus,,,,,,,,,,,,,Odontopsyllus,,,,GENUS,,,,,ACCEPTED,,,,,,Odontopsyllus
CoLx7G,x7G,,,xS,,,,,Ochotonobius,,,,,,,,,,,,,Ochotonobius,,,,GENUS,,,,,ACCEPTED,,,,,,Ochotonobius
CoLx3U,x3U,,,xS,,,,,Ornithophaga,,,,,,,,,,,,,Ornithophaga,,,,GENUS,,,,,ACCEPTED,,,,,,Ornithophaga
CoLx3W,x3W,,,xS,,,,,Mesopsylla,,,,,,,,,,,,,Mesopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Mesopsylla
CoLx3L,x3L,,,xS,,,,,Calceopsylla,,,,,,,,,,,,,Calceopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Calceopsylla
CoLx3N,x3N,,,xS,,,,,Brachyctenonotus,,,,,,,,,,,,,Brachyctenonotus,,,,GENUS,,,,,ACCEPTED,,,,,,Brachyctenonotus
CoLx3J,x3J,,,xS,,,,,Conothobius,,,,,,,,,,,,,Conothobius,,,,GENUS,,,,,ACCEPTED,,,,,,Conothobius
CoLx3S,x3S,,,xS,,,,,Typhlomyopsyllus,,,,,,,,,,,,,Typhlomyopsyllus,,,,GENUS,,,,,ACCEPTED,,,,,,Typhlomyopsyllus
CoLx3Q,x3Q,,,xS,,,,,Aconothobius,,,,,,,,,,,,,Aconothobius,,,,GENUS,,,,,ACCEPTED,,,,,,Aconothobius
CoLx3E,x3E,,,xS,,,,,Ctenophyllus,,,,,,,,,,,,,Ctenophyllus,,,,GENUS,,,,,ACCEPTED,,,,,,Ctenophyllus
CoLx3G,x3G,,,xS,,,,,Chinghaipsylla,,,,,,,,,,,,,Chinghaipsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Chinghaipsylla
CoLx3C,x3C,,,xS,,,,,Pectinoctenus,,,,,,,,,,,,,Pectinoctenus,,,,GENUS,,,,,ACCEPTED,,,,,,Pectinoctenus
CoLx38,x38,,,xS,,,,,Amphipsylla,,,,,,,,,,,,,Amphipsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Amphipsylla
CoLx3A,x3A,,,xS,,,,,Paractenopsyllus,,,,,,,,,,,,,Paractenopsyllus,,,,GENUS,,,,,ACCEPTED,,,,,,Paractenopsyllus
CoLx32,x32,,,xS,,,,,Leptopsylla,,,,,,,,,,,,,Leptopsylla,,,,GENUS,,,,,ACCEPTED,,,,,,Leptopsylla
CoLx34,x34,,,xS,,,,,Cratynius,,,,,,,,,,,,,Cratynius,,,,GENUS,,,,,ACCEPTED,,,,,,Cratynius
