"TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily"
"BYUSYN64",NA,NA,NA,NA,NA,NA,NA,NA,"Neopsylla siimilis Chapin, 1919","Epitedia wenmanni (Rothschild 1904)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neopsylla",NA,"siimilis",NA,NA,NA,"Chapin, 1919",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN66",NA,NA,NA,NA,NA,NA,NA,NA,"Myodopsylla subulata Chapin, 1919","Myodopsylla insignis (Rothschild 1903)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myodopsylla",NA,"subulata",NA,NA,NA,"Chapin, 1919",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN67",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus utahensis Chapin, 1919","Ceratophyllus garei Rothschild, 1902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"utahensis",NA,NA,NA,"Chapin, 1919",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN65",NA,NA,NA,NA,NA,NA,NA,NA,"Stenoponia wetmorei Chapin, 1919","Stenoponia americana (Baker 1899)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stenoponia",NA,"wetmorei",NA,NA,NA,"Chapin, 1919",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN68",NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsylla mammoth Chapin, 1921","Hystrichopsylla schefferi Chapin, 1919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hystrichopsylla",NA,"mammoth",NA,NA,NA,"Chapin, 1921",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN69",NA,NA,NA,NA,NA,NA,NA,NA,"Neopsylla rhombosa Chen & Wei, 1978","Neopsylla honora Jordan, 1932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neopsylla",NA,"rhombosa",NA,NA,NA,"Chen & Wei, 1978",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN70",NA,NA,NA,NA,NA,NA,NA,NA,"Hectopsylla mazzai Costa Lima, 1935","Hectopsylla broscus Jordan & Rothschild, 1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hectopsylla",NA,"mazzai",NA,NA,NA,"Costa Lima, 1935",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN71",NA,NA,NA,NA,NA,NA,NA,NA,"Myodopsylla diasi Costa Lima, 1938","Myodopsylla collinsi Kohls, 1937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myodopsylla",NA,"diasi",NA,NA,NA,"Costa Lima, 1938",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN73",NA,NA,NA,NA,NA,NA,NA,NA,"Pulex conepati Cunha, 1914","Pulex irritans Linnaeus, 1758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex",NA,"conepati",NA,NA,NA,"Cunha, 1914",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN72",NA,NA,NA,NA,NA,NA,NA,NA,"Stenopsylla cruzi Cunha, 1914","Adoratopsylla intermedia intermedia (Jordan 1926)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stenopsylla",NA,"cruzi",NA,NA,NA,"Cunha, 1914",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN26",NA,NA,NA,NA,NA,NA,NA,NA,"Pulex irritans var. bahiensis Cunha, 1914","Pulex irritans Linnaeus, 1758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex",NA,"irritans","bahiensis",NA,NA,"Cunha, 1914",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN75",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratopsyllus Curtis, 1932","Ceratophyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratopsyllus",NA,NA,NA,NA,NA,"Curtis, 1932",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN77",NA,NA,NA,NA,NA,NA,NA,NA,"Frontopsylla mongolica Cyprich, Kiefe & Cendsuren, 1977","Frontopsylla wagneri wagneri Ioff, 1928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Frontopsylla",NA,"mongolica",NA,NA,NA,"Cyprich, Kiefe & Cendsuren, 1977",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN76",NA,NA,NA,NA,NA,NA,NA,NA,"Nosopsyllus laeviceps gobiensis Cyprich, Kiefer & Cendsuren, 1977","Nosopsyllus laeviceps ellobii (Wagner 1933)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nosopsyllus",NA,"laeviceps","gobiensis",NA,NA,"Cyprich, Kiefer & Cendsuren, 1977",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN79",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus aenas Dale, 1878","Ceratophyllus gallinae (Schrank 1803)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"aenas",NA,NA,NA,"Dale, 1878",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN78",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus arvenis Dale, 1878","Dasypsyllus gallinulae gallinulae (Dale 1878)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"arvenis",NA,NA,NA,"Dale, 1878",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN81",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus atricapillae Dale, 1878","Dasypsyllus gallinulae gallinulae (Dale 1878)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"atricapillae",NA,NA,NA,"Dale, 1878",NA,NA,NA,NA,NA,NA,NA,NA
"BYUSYN96",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus caudati Dale, 1878","Dasypsyllus gallinulae gallinulae (Dale 1878)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"caudati",NA,NA,NA,"Dale, 1878",NA,NA,NA,NA,NA,NA,NA,NA
