dwc:taxonID	dwc:parentNameUsageID	dwc:acceptedNameUsageID	dwc:originalNameUsageID	dwc:datasetID	dwc:taxonomicStatus	dwc:taxonRank	dwc:scientificName	gbif:genericName	dwc:specificEpithet	dwc:infraspecificEpithet	dwc:nameAccordingTo	dwc:namePublishedIn	dwc:nomenclaturalCode	dwc:nomenclaturalStatus	dwc:taxonRemarks	dcterms:references
102760	xG				ACCEPTED	SPECIES	Xenopsylla nuttalli Ioff, 1930	Xenopsylla	nuttalli				ICZN			
102740	xG				ACCEPTED	SPECIES	Xenopsylla nubica (Rothschild, 1903)	Xenopsylla	nubica				ICZN			
102750		102740			SYNONYM	SPECIES	Alaopsylla chersinus (Rothschild, 1906)	Alaopsylla	chersinus				ICZN			
102780	xG				ACCEPTED	SPECIES	Xenopsylla papuensis (Jordan, 1933)	Xenopsylla	papuensis				ICZN			
102770	xG				ACCEPTED	SPECIES	Xenopsylla occidentalis De Meillon, 1938	Xenopsylla	occidentalis				ICZN			
102710	xG				ACCEPTED	SPECIES	Xenopsylla nesiotes (Jordan & Rothschild, 1908)	Xenopsylla	nesiotes				ICZN			
102700	xG				ACCEPTED	SPECIES	Xenopsylla mulleri De Meillon, 1947	Xenopsylla	mulleri				ICZN			
102730	xG				ACCEPTED	SPECIES	Xenopsylla nilotica (Jordan & Rothschild, 1908)	Xenopsylla	nilotica				ICZN			
102720	xG				ACCEPTED	SPECIES	Xenopsylla nesokiae Ioff, 1946	Xenopsylla	nesokiae				ICZN			
102670	xG				ACCEPTED	SPECIES	Xenopsylla magdalinae Ioff, 1935	Xenopsylla	magdalinae				ICZN			
102660	xG				ACCEPTED	SPECIES	Xenopsylla lobengulai De Meillon, 1930	Xenopsylla	lobengulai				ICZN			
102690	xG				ACCEPTED	SPECIES	Xenopsylla moucheti Smit, 1958	Xenopsylla	moucheti				ICZN			
102680	xG				ACCEPTED	SPECIES	Xenopsylla morgandaviesi Hubbard, 1963	Xenopsylla	morgandaviesi				ICZN			
102620	xG				ACCEPTED	SPECIES	Xenopsylla humilis Jordan, 1925	Xenopsylla	humilis				ICZN			
102610	xG				ACCEPTED	SPECIES	Xenopsylla hirtipes Rothschild, 1913	Xenopsylla	hirtipes				ICZN			
102650	xG				ACCEPTED	SPECIES	Xenopsylla jorgei Ribeiro, 1975	Xenopsylla	jorgei				ICZN			
102630	xG				ACCEPTED	SPECIES	Xenopsylla hussaini Sharif, 1930	Xenopsylla	hussaini				ICZN			
102640		102630			SYNONYM	SPECIES	Alaopsylla sewelli Sharif, 1930	Alaopsylla	sewelli				ICZN			
102560	xG				ACCEPTED	SPECIES	Xenopsylla hipponax De Meillon, 1942	Xenopsylla	hipponax				ICZN			
102570	xG				ACCEPTED	SPECIES	Xenopsylla hirsuta Ingram, 1928	Xenopsylla	hirsuta				ICZN			
102590	102570				ACCEPTED	INFRASPECIFIC_NAME	Xenopsylla hirsuta multisetosa Haeselbarth, 1964	Xenopsylla	hirsuta	multisetosa			ICZN			
102600	102570				ACCEPTED	INFRASPECIFIC_NAME	Xenopsylla hirsuta placidia De Meillon & Hardy, 1951	Xenopsylla	hirsuta	placidia			ICZN			
102580	102570				ACCEPTED	INFRASPECIFIC_NAME	Xenopsylla hirsuta hirsuta Ingram, 1928	Xenopsylla	hirsuta	hirsuta			ICZN			
102540	xG				ACCEPTED	SPECIES	Xenopsylla guancha Beaucournu, Alcovar & Launay, 1989	Xenopsylla	guancha				ICZN			
102550	xG				ACCEPTED	SPECIES	Xenopsylla hamula Jordan, 1925	Xenopsylla	hamula				ICZN			
102520	xG				ACCEPTED	SPECIES	Xenopsylla graingeri Smit, 1956	Xenopsylla	graingeri				ICZN			
102530	xG				ACCEPTED	SPECIES	Xenopsylla gratiosa Jordan & Rothschild, 1923	Xenopsylla	gratiosa				ICZN			
102470	xG				ACCEPTED	SPECIES	Xenopsylla georychi (C.Fox, 1914)	Xenopsylla	georychi				ICZN			
102480	xG				ACCEPTED	SPECIES	Xenopsylla gerbilli (Wagner, 1903)	Xenopsylla	gerbilli				ICZN			
102510	102480				ACCEPTED	INFRASPECIFIC_NAME	Xenopsylla gerbilli minax Jordan, 1926	Xenopsylla	gerbilli	minax			ICZN			
102490	102480				ACCEPTED	INFRASPECIFIC_NAME	Xenopsylla gerbilli gerbilli (Wagner, 1903)	Xenopsylla	gerbilli	gerbilli			ICZN			
102500	102480				ACCEPTED	INFRASPECIFIC_NAME	Xenopsylla gerbilli caspica Ioff, 1950	Xenopsylla	gerbilli	caspica			ICZN			
102450	xG				ACCEPTED	SPECIES	Xenopsylla frayi De Meillon, 1937	Xenopsylla	frayi				ICZN			
102460	xG				ACCEPTED	SPECIES	Xenopsylla geldenhuysi De Meillon, 1949	Xenopsylla	geldenhuysi				ICZN			
102420	xG				ACCEPTED	SPECIES	Xenopsylla eridos (Rothschild, 1904)	Xenopsylla	eridos				ICZN			
102430		102420			SYNONYM	SPECIES	Alaopsylla pasiphae De Meillon, 1947	Alaopsylla	pasiphae				ICZN			
102440	xG				ACCEPTED	SPECIES	Xenopsylla erilli (Rothschild, 1904)	Xenopsylla	erilli				ICZN			
102400	xG				ACCEPTED	SPECIES	Xenopsylla difficilis Jordan, 1925	Xenopsylla	difficilis				ICZN			
102410	xG				ACCEPTED	SPECIES	Xenopsylla dipodilli Smit, 1960	Xenopsylla	dipodilli				ICZN			
102380	xG				ACCEPTED	SPECIES	Xenopsylla debilis Jordan, 1925	Xenopsylla	debilis				ICZN			
x5N	xE				ACCEPTED	GENUS	Echidnophaga									
