"TPTdataset","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily","canonicalName","dupe_dataset"
"BYUSYN",356,NA,NA,NA,NA,NA,NA,NA,"Glauertidos M Rothschild, 1937","Acanthopsylla scintilla scintilla (M Rothschild 1936)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glauertidos",NA,NA,NA,NA,NA,"Rothschild, 1937",NA,NA,NA,NA,"Nomen novum for glauertia  acanthopsylla jordan & rothschild, 1922",NA,NA,NA,"Glauertidos","BYUSYN"
"BYUSYN",52,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla makaluensis Brelih, 1975","Palaeopsylla aporema Smit & Rosicky, 1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla",NA,"makaluensis",NA,NA,NA,"Brelih, 1975",NA,NA,NA,NA,"Female",NA,NA,NA,"Palaeopsylla makaluensis","BYUSYN"
"BYUSYN",53,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla makaluensis Brelih, 1975","Palaeopsylla tauberi makaluensis Brelih, 1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Palaeopsylla",NA,"makaluensis",NA,NA,NA,"Brelih, 1975",NA,NA,NA,NA,"Male",NA,NA,NA,"Palaeopsylla makaluensis","BYUSYN"
"BYUSYN",74,NA,NA,NA,NA,NA,NA,NA,"Pulex canis Curtis, 1826","Ctenocephalides canis (Curtis 1926)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex",NA,"canis",NA,NA,NA,"Curtis, 1826",NA,NA,NA,"Homonym","Junior homonym",NA,NA,NA,"Pulex canis","BYUSYN"
"BYUSYN",120,NA,NA,NA,NA,NA,NA,NA,"Pulex canis Dugs, 1832","Ctenocephalides canis (Curtis 1926)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex",NA,"canis",NA,NA,NA,"Dugs, 1832",NA,NA,NA,"Homonym","Junior homonym",NA,NA,NA,"Pulex canis","BYUSYN"
"BYUSYN",2,NA,NA,NA,NA,NA,NA,NA,"Oropsylla montana mandarina (Jordan & Rothschild, 1911)","Oropsylla montana (Baker, 1895)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oropsylla",NA,"montana","mandarina",NA,NA,"(Jordan & Rothschild, 1911)",NA,NA,NA,NA,NA,NA,NA,NA,"Oropsylla montana mandarina","BYUSYN"
"BYUSYN",3,NA,NA,NA,NA,NA,NA,NA,"Oropsylla montana mandarina (Jordan & Rothschild, 1911)","Nosopsyllus mokrzeckyi (Wagner, 1916)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oropsylla",NA,"montana","mandarina",NA,NA,"(Jordan & Rothschild, 1911)",NA,NA,NA,NA,NA,NA,NA,NA,"Oropsylla montana mandarina","BYUSYN"
"BYUSYN",34,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus acutus Baker, 1904","Nosopsyllus mokrzeckyi (Wagner 1916)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"acutus",NA,NA,NA,"Baker, 1904",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus acutus","BYUSYN"
"BYUSYN",35,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus acutus Baker, 1904","Oropsylla montana (Baker 1895)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"acutus",NA,NA,NA,"Baker, 1904",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus acutus","BYUSYN"
"BYUSYN",51,NA,NA,NA,NA,NA,NA,NA,"Pulex vespertilionis Bouch, 1835","Ischnopsyllus hexactenus (Kolenati 1856)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex",NA,"vespertilionis",NA,NA,NA,"Bouch, 1835",NA,NA,NA,NA,NA,NA,NA,NA,"Pulex vespertilionis","BYUSYN"
"BYUSYN",92,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus monedulae Dale, 1878","Dasypsyllus gallinulae gallinulae (Dale 1878)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus",NA,"monedulae",NA,NA,NA,"Dale, 1878",NA,NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus monedulae","BYUSYN"
"BYUSYN",123,NA,NA,NA,NA,NA,NA,NA,"Pulex vespertilionis Dugs, 1832","Ischnopsyllus hexactenus (Kolenati 1856)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pulex",NA,"vespertilionis",NA,NA,NA,"Dugs, 1832",NA,NA,NA,NA,NA,NA,NA,NA,"Pulex vespertilionis","BYUSYN"
