"TPTdataset","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","infraorder","superfamily","subfamily","canonicalName","dupe_dataset"
"BYUSYN",404,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus orphilus tatricus Rosicky, 1951","Ctenophthalmus agyrtes peusianus Rosicky, 1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus",NA,"orphilus","tatricus",NA,NA,"Rosicky, 1951",NA,NA,NA,NA,"Partim",NA,NA,NA,"Ctenophthalmus orphilus tatricus","BYU"
"BYUSYN",405,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus orphilus tatricus Rosicky, 1951","Ctenophthalmus agyrtes agyrtes (Heller 1896)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophthalmus",NA,"orphilus","tatricus",NA,NA,"Rosicky, 1951",NA,NA,NA,NA,"Partim",NA,NA,NA,"Ctenophthalmus orphilus tatricus","BYU"
"BYUSYN",519,NA,NA,NA,NA,NA,NA,NA,"Diamanus hopkinsi Vargas, 1955","Oropsylla montana (Baker 1895)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diamanus",NA,"hopkinsi",NA,NA,NA,"Vargas, 1955",NA,NA,NA,NA,NA,NA,NA,NA,"Diamanus hopkinsi","BYU"
"BYUSYN",520,NA,NA,NA,NA,NA,NA,NA,"Diamanus hopkinsi Vargas, 1955","Nosopsyllus mokrzeckyi (Wagner 1916)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diamanus",NA,"hopkinsi",NA,NA,NA,"Vargas, 1955",NA,NA,NA,NA,NA,NA,NA,NA,"Diamanus hopkinsi","BYU"
"BYUSYN",357,NA,NA,NA,NA,NA,NA,NA,"Glauertidos M Rothschild, 1937","Acanthopsylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glauertidos",NA,NA,NA,NA,NA,"M Rothschild, 1937",NA,NA,NA,NA,NA,NA,NA,NA,"Glauertidos","BYU"
"BYUSYN",356,NA,NA,NA,NA,NA,NA,NA,"Glauertidos M Rothschild, 1937","Acanthopsylla scintilla scintilla (M Rothschild 1936)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glauertidos",NA,NA,NA,NA,NA,"Rothschild, 1937",NA,NA,NA,NA,"Nomen novum for glauertia  acanthopsylla jordan & rothschild, 1922",NA,NA,NA,"Glauertidos","BYU"
"BYUSYN",544,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus kolenatii Wagner, 1930","Neopsylla honora Jordan, 1932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus",NA,"kolenatii",NA,NA,NA,"Wagner, 1930",NA,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus kolenatii","BYU"
"BYUSYN",545,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus kolenatii Wagner, 1930","Ischnopsyllus hexactenus (Kolenati 1856)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus",NA,"kolenatii",NA,NA,NA,"Wagner, 1930",NA,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus kolenatii","BYU"
"BYUSYN",386,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus schmitzi Oudemans, 1909","Ischnopsyllus intermedius (Rothschild 1898)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus",NA,"schmitzi",NA,NA,NA,"Oudemans, 1909",NA,NA,NA,NA,"Female ischnopsyllus intermedius",NA,NA,NA,"Ischnopsyllus schmitzi","BYU"
"BYUSYN",387,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus schmitzi Oudemans, 1909","Citellophilus simplex simplex (Wagner 1902)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ischnopsyllus",NA,"schmitzi",NA,NA,NA,"Oudemans, 1909",NA,NA,NA,NA,"Male of ischnopsyllus simplex simplex",NA,NA,NA,"Ischnopsyllus schmitzi","BYU"
"BYUSYN",506,NA,NA,NA,NA,NA,NA,NA,"Jellisonia Traub, 1944","Jellisonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jellisonia",NA,NA,"Subgenus",NA,"Traub, 1944",NA,NA,NA,NA,NA,NA,NA,NA,"Jellisonia","BYU"
"BYUSYN",383,NA,NA,NA,NA,NA,NA,NA,"Nycteridopsylla bouchei Oudemans, 1906","Ischnopsyllus hexactenus (Kolenati 1856)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nycteridopsylla",NA,"bouchei",NA,NA,NA,"Oudemans, 1906",NA,NA,NA,NA,NA,NA,NA,NA,"Nycteridopsylla bouchei","BYU"
