"compared_names","similar_names"
"Spinopsylla","Spuropsylla"
"Spinopsylla","Stenopsylla"
"Sternopsylla","Stenopsylla"
"Hirtopsylla","Hormopsylla"
"Hirtopsylla","Hectopsylla"
"Hirtopsylla","Tritopsylla"
"Ptilopsylla","Aptilopsylla"
"Araeopsylla","Praeopsylla"
"Gryphopsylla","Cryptopsylla"
"Spilopsyllus","Spilosyllus"
"Stivalius","Astivalius"
"Allopsylla","Alaopsylla"
"Nestivalius","Destivalius"
"Aviostivalius","Aviostivalus"
"Alectopsylla","Arctopsylla"
"Alectopsylla","Hectopsylla"
"Myodopsylla","Myoxopsylla"
"Striopsylla","Sternopsylla"
"Striopsylla","Sarcopsylla"
"Striopsylla","Stenopsylla"
"Striopsylla","Strepsylla"
"Tarsopsylla","Margopsylla"
"Tarsopsylla","Sarcopsylla"
"Notiopsylla","Neotropsylla"
"Amalaraeus","Amalareus"
"Cediopsylla","Acediopsylla"
"Plocopsylla","Phacopsylla"
"Foxella","Afoxella"
"Coptopsylla","Cryptopsylla"
"Coptopsylla","Leptopsylla"
"Malacopsylla","Palaeopsylla"
"Macropsylla","Micropsylla"
"Pygiopsylla","Pagipsylla"
"Nosopsyllus","Monopsyllus"
"Orfrontia","Profrontia"
"Ceratophyllidae","Ceratophyllinae"
"Callopsylla","Allopsylla"
"Callopsylla","Cleopsylla"
"Callopsylla","Calceopsylla"
"Callopsylla","Caenopsylla"
"Oxypsylla","Oropsylla"
"Ceratophyllus","Ceratopsyllus"
"Syngenopsyllus","Syngeonopsyllus"
"Paramonopsyllus","Paradoxopsyllus"
"Amegabothris","Megabothris"
"Ceratopsylla","Doratopsylla"
"Ceratopsylla","Ceratopsyllus"
"Aenigmopsylla","Aenigmopsylla "
"Malaraeus","Amalaraeus"
"Ornitophaga","Ornithophaga"
"Rostropsylla","Austropsylla"
"Rostropsylla","Listropsylla"
"Aethopsylla","Aetheopsylla"
"Atyphloceras","Typhloceras"
"Neopsylla","Oropsylla"
"Neopsylla","Xenopsylla"
"Neopsylla","Moeopsylla"
"Neopsylla","Delopsylla"
"Neopsylla","Mesopsylla"
"Neopsylla","Cleopsylla"
"Neopsylla","Uropsylla"
"Neopsylla","Eopsylla"
"Euhoplopsyllus","Euchoplopsyllus"
"Actenopsylla","Stenopsylla"
"Aphropsylla","Spuropsylla"
"Aphropsylla","Atheropsylla"
"Aphropsylla","Acropsylla"
"Atopopsyllus","Amonopsyllus"
"Atopopsyllus","Atopsyllus"
"Metapsylla","Megapsylla"
"Synopsyllus","Monopsyllus"
"Synopsyllus","Dinopsyllus"
"Chaetopsylla","Chiastopsylla"
"Chaetopsylla","Caenopsylla"
"Chaetopsylla","Phaenopsylla"
"Chaetopsylla","Achaetopsylla"
"Pulicella","Pulicilla"
"Archaeopsylla","Araeopsylla"
"Archaeopsylla","Achaetopsylla"
"Demeillionia","Demeillonia"
"Palaeoctenophthalmus","Palaoctenophthalmus"
"Craneopsylla","Araeopsylla"
"Craneopsylla","Praeopsylla"
"Craneopsylla","Paraneopsylla"
"Craneopsylla","Caenopsylla"
"Euctenophthalmus","Actenophthalmus"
"Hectoropsylla","Hectopsylla"
"Medioctenophthalmus","Idioctenophthalmus"
"Scolopsyllus","Spilopsyllus"
"Dermatophyllus","Dermatophylus"
"Asioctenophthalmus","Idioctenophthalmus"
"Coptopsyllidae","Leptopsyllidae"
"Coptopsyllidae","Coptopsylloidea"
"Oncopsylla","Oropsylla"
"Oncopsylla","Lycopsylla"
"Stephanocircidae","Stephanocircinae"
"Ctenophthalmidae","Ctenopthalmidae"
"Ctenophthalmidae","Ctenophthalminae"
"Histrichopsyllidae","Hystrichopsyllidae"
"Macropsyllidae","Macropsyllinae"
"Ancistropsyllidae","Ancistropsylloidea"
"Pulicidae","Pulicinae"
"Pygiopsyllidae","Pygiopsylloidea"
"Chimaeropsyllidae","Chimaeropsyllinae"
"Ischnopsyllidae","Ischnopsyllinae"
"Rhopalopsyllidae","Rhopalopsyllinae"
"Neoctenophthalmus","Geoctenophthalmus"
"Praopsylla","Praeopsylla"
"Rangulopsylla","Rangulpsylla"
"Avesopsylla","Mesopsylla"
"Ralipsylla","Pagipsylla"
"Aceratophyllus","Ceratophyllus"
"Nycteridiphilus","Nycteridiphilis"
"Sciuropsylla","Spuropsylla"
"Macrocoptopsylla","Macocoptopsylla"
"Hechtiella","Hectiella"
"Hadropsylla","Macropsylla"
"Saphiopsylla","Xiphiopsylla"
"Adoratopsylla","Doratopsylla"
"Liuopsylla","Lycopsylla"
"Ctenophthalmus","Actenophthalmus"
"Conothobius","Aconothobius"
"Leptosylla","Leptopsylla"
"Nosopsyllus fidus","Nosopsyllus medus"
"Nosopsyllus aralis","Nosopsyllus wualis"
"Ctenophthalmus savii","Ctenophthalmus safii"
"Ctenophthalmus arcanus","Ctenophthalmus iranus"
"Ctenophthalmus arcanus","Ctenophthalmus acunus"
"Ctenophthalmus parvus","Ctenophthalmus parcus"
"Ctenophthalmus nivalis","Ctenophthalmus arvalis"
"Ctenophthalmus egregius","Ctenophthalmus egregious"
"Ctenophthalmus formasanus","Ctenophthalmus formosanus"
"Ctenophthalmus caecus","Ctenophthalmus parcus"
"Ctenophthalmus caecus","Ctenophthalmus graecus"
"Chaetopsylla alia","Chaetopsylla lasia"
"Vermipsylla asymmetrica lunata","Vermipsylla aymmetrica lunata"
"Vermipsylla asymmetrica asymmetrica","Vermipsylla asymmetrica aymmetrica"
"Peromyscopsylla bidentata","Peromyscopsylla bidentatus"
"Nycteridopsylla pentactena","Nycteridopsylla pentactenus"
"Leptopsylla segnis","Leptosylla segnis"
"Nycteridopsylla dictena","Nycteridopsylla dictenus"
"Peromyscopsylla silvatica","Peromyscopsylla sylvatica"
"Nosopsyllus londiniensis","Nosopsyllus londinensis"
"Nosopsyllus sarinus","Nosopsyllus sucinus"
"Ctenocephalides canis","Ctenocephalides cati"
